#SampleID	0.1	0.2	0.3	0.4	0.5	0.8	0.9	1.1	1.2	1.3	1.4	1.5	1.6	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.9	3	3.1	3.2	3.3	3.4	3.5	3.6	3.8	4	4.1	4.2	4.3	4.4	4.5	4.6	4.7	5	5.1	5.2	5.3	5.4	5.5	5.6	5.7	5.8	5.9	6	6.2	6.3	6.4	6.5	6.6	6.8	7.1	7.2	7.3	7.4	7.5	7.8	7.9	8	8.1	8.2	8.3	8.4	8.5	8.6	8.8	9	9.1	9.2	9.3	9.4	9.5	9.6	9.8	10	10.1	10.2	10.3	10.4	10.5	10.6	10.7	10.9	11	11.1	11.2	11.3	11.4	11.5	11.6	11.7	12	12.1	12.2	12.3	12.5	12.6	12.8	13	13.1	13.2	13.3	13.5	13.8	13.9	14	14.1	14.2	14.3	14.4	14.5	14.6	14.9	15	15.1	15.2	15.3	15.5	15.6	16	16.1	16.2	16.3	16.4	16.6	17	17.1	17.2	17.3	17.4	17.9	18	18.1	18.2	18.3	18.8	18.9	19	19.1	19.2	19.3	19.4	19.5	19.6	20	20.1	20.2	20.3	20.4	20.7	20.9	21	21.1	21.2	21.3	21.5	21.6	21.7	22	22.1	22.2	22.3	23	23.1	23.2	23.3	23.5	23.6	23.8	23.9	24.1	24.2
Bgsng7114.m22	0.0033	0.0022	0.0019	0	0	0	0	0	1e-04	0.0021	1e-04	7e-04	0	0	4e-04	0	4e-04	4e-04	5e-04	1e-04	5e-04	0	0	1e-04	6e-04	1e-04	4e-04	4e-04	0.002	0	0	0	4e-04	0	0	4e-04	3e-04	0	0	0	0	4e-04	0.0018	0	7e-04	0.0078	0.0049	0	0	3e-04	0.0011	1e-04	6e-04	4e-04	0	0	0	0.0012	9e-04	9e-04	0.0062	5e-04	0	0	0	0.004	0.0096	9e-04	0.0066	0	0.0054	4e-04	2e-04	0.0018	3e-04	0.0028	0.0024	8e-04	0.0039	0.0049	1e-04	0.0027	0.0199	0.0047	0	0.0021	2e-04	0	0.0019	0.0027	0.005	0.0068	9e-04	0	9e-04	0	0	0.0347	0.0041	0.0039	0.0027	0	0	0	0.0041	0.0095	0.0025	0.0109	0.0018	0	0	0.0084	0.0392	0.0083	0	0.0042	0	0	0	0.0154	0.0311	0.0031	0.0049	0.0188	0	0.022	0.0133	0.0087	0	0.0012	0	0.0169	0.0179	0.001	0.024	1e-04	0	0	0	0.0065	0	0.0035	0	0.0165	0.0151	0.0174	0.0336	0	0	0	0.007	0.0216	0.0025	0.0268	0	0	0	0.0108	0.0444	0.0304	0.0091	0	0	0	0	0.0379	0.0218	0.089	0.0356	0.0653	0.0264	0.0149	0.0085	0	0	0	0	0.0056
Bgsng8064.m14	0.0034	0.0039	0.0047	4e-04	1e-04	0.0042	0.0013	0.0015	0.0012	0.0041	9e-04	0.0052	1e-04	2e-04	2e-04	9e-04	0	0.0016	0.0085	0.0043	8e-04	0.0017	0.0015	3e-04	0.0054	0.0027	0.0071	4e-04	0.0058	0.004	0.001	0.0051	6e-04	0.0022	9e-04	0.0019	0.0026	1e-04	3e-04	0.0019	0.0103	0.0024	0.0065	0.0028	0.0018	0.0159	0.0056	0.002	0.0018	6e-04	0.0085	0.0044	0.006	0.0011	3e-04	0.0014	0.003	0.0036	0.0038	0.0051	0.0089	0.0129	1e-04	6e-04	0.0037	0.0149	0.0043	0.01	0.0026	0.0129	0.0034	0.0086	0.002	0.0027	6e-04	0.0063	0.0052	0.0103	0.0096	0.0068	0.0011	0.0118	0.028	0.0022	0.0109	0.0046	0.0023	6e-04	0.0025	0.0242	0.0187	0.0066	0.0079	0.0055	0.0033	0.0014	0.0065	0.0103	0.0558	0.0019	0.0012	9e-04	0.0013	8e-04	0.0118	0.0053	0.0012	0.0086	0.0048	0.0043	2e-04	0.0048	0.0196	0.0031	0.0013	0.0051	0.0028	0.0018	0.0023	0.0054	0.0108	0.0161	0.0042	0.0019	0.001	0.0082	0.0169	0.0149	0.0021	0.0057	5e-04	0.0627	0.0044	4e-04	0.0107	0.0095	0.0086	0.001	0.001	0.0055	7e-04	0.002	0.0012	0.001	0.0198	0.0055	0.0085	0.0017	4e-04	0	0.0133	0.0149	0.0015	0.0047	0.0011	5e-04	0.002	0.0235	0.0038	0.0184	0.003	4e-04	0	0.0076	8e-04	0.0134	0.0041	0.0059	0.0206	0.0108	0.0078	8e-04	0.0012	3e-04	0.0042	0.001	4e-04	0.0081
Bgsng7082.m24	7e-04	7e-04	2e-04	0	0	0	0	0	0	4e-04	0	1e-04	0	0	4e-04	0	2e-04	0	0	0	2e-04	0	0	8e-04	9e-04	0	1e-04	1e-04	7e-04	0	0	0	3e-04	0	0	4e-04	2e-04	0	0	1e-04	0	1e-04	4e-04	0	0	0.001	3e-04	0	0	1e-04	0	1e-04	1e-04	0	0	2e-04	0	6e-04	2e-04	0.001	0.0041	0.0014	0	0	0	0.0013	0.0016	3e-04	0.0095	0	0.0079	0	0	0.0011	0	0.0012	0.0012	2e-04	0.0013	0.0013	6e-04	0.0012	0.0268	0.0038	0	0.0027	5e-04	0	6e-04	0.0026	0.0012	0.0078	0.0018	0	3e-04	1e-04	0	0.0131	0.0127	0.009	0.0025	0	0	0	0.0053	0.0097	0.0041	0.0054	0.0017	0	0	0.0101	0.0538	0.009	0	0.0024	0	0	0	0.0309	0.0215	0.009	0.0086	0.0026	0	0.018	0.0398	0.0089	0	0.0072	0	0.0333	0.0268	0.003	0.0298	0.0012	0	0	0	0.0024	0	5e-04	0	0.0077	0.0116	0.0306	0.0349	0	0	0	0.0098	0.014	0.01	0.0184	0	0	0	0.0162	0.0153	0.0316	0.0097	0	0	0	0	0.0212	0.0378	0.0684	0.0941	0.0511	0.0195	0.0092	0.0038	0	0	0	0	0.0098
Bgsng7192.m22	3e-04	2e-04	1e-04	0	0	1e-04	0.0026	0	1e-04	0.0012	0	0	0	0	0	0	0	1e-04	2e-04	0	2e-04	0	0	1e-04	0.0012	1e-04	0	0	0.0022	1e-04	1e-04	2e-04	0	0	0	0	1e-04	0	1e-04	3e-04	4e-04	0	1e-04	1e-04	0	0	0.0051	1e-04	0	0	0	0	3e-04	2e-04	0	1e-04	0.0033	1e-04	1e-04	3e-04	0.0154	3e-04	0	0	1e-04	0.0059	0.0011	2e-04	0.0029	0	0.0037	6e-04	0	6e-04	2e-04	0.001	0.0023	3e-04	9e-04	0.0014	9e-04	3e-04	0.0196	8e-04	0.0017	0.0159	3e-04	0	0.004	0.0029	0.0064	0.0259	0.0085	9e-04	8e-04	0.0033	2e-04	0.0159	0.0092	0.0057	2e-04	2e-04	0.0029	4e-04	0.0031	0.01	0.0075	0.0049	0.0048	0	5e-04	0.0121	0.0231	0.0123	0	8e-04	2e-04	6e-04	0.0012	0.0094	0.0356	0.0078	0.0051	0.0132	0.0014	0.006	0.0199	0.0063	2e-04	0.0056	0.0018	0.0256	0.009	0.0016	0.0457	0.0025	0.008	0.0075	0.0014	0.0211	8e-04	0.0067	9e-04	0.0065	0.0048	0.0396	0.0167	0.0172	0.0072	0.0053	0.0146	0.0304	0.002	0.0158	0.0087	0.0038	0.034	0.0129	0.0037	0.0059	0.023	0	0.0047	0.001	2e-04	0.0364	0.0291	0.0295	0.0056	0.0872	0.0066	0.0021	0.0171	7e-04	0.005	0.0023	0.0014	0.0112
Bgsng7082.m20	4e-04	0.0014	6e-04	0	0	0.0013	0.001	0	0.002	0.0021	0.001	0.001	0	5e-04	0.0013	0	0.001	9e-04	0.0013	6e-04	1e-04	0	0	3e-04	0.0012	0.0028	4e-04	1e-04	0.0061	0.0022	7e-04	9e-04	3e-04	5e-04	0	0.0025	0.0014	0	2e-04	0.0011	0.0038	5e-04	0.0013	6e-04	0.0016	0.0022	5e-04	0.0023	1e-04	1e-04	0.0045	0.0013	0.0016	2e-04	0.0017	5e-04	0.0083	0.0058	0.0071	0.0051	0.02	0.0041	0	1e-04	2e-04	0.004	0.0121	0.0042	0.0019	1e-04	0.0056	0.0016	0.0039	7e-04	0.0028	0.0025	0.0071	0.0081	0.0068	0.0093	0.0048	0.0042	0.0314	0.0063	0.0067	0.0069	0.0079	0.0012	0.003	0.008	0.0066	0.0059	0.0019	0.0031	0.0056	0.0049	0.0032	0.0214	0.0109	0.0014	0.0052	0.0012	0.0126	9e-04	0.0037	0.0292	0.0086	0.0072	0.0155	0.001	0.0015	0.0131	0.0183	0.0133	0	0.0021	0	0.0064	0.0014	0.0297	0.0169	0.0062	0.0116	0.001	9e-04	0.0103	0.0392	0.0111	0.004	0.0084	0.002	0.017	0.0132	0.0031	0.0076	0.0083	0.0089	0.0352	0.0014	0.0038	6e-04	7e-04	0.0062	0.0011	0.0206	0.0108	0.0251	0.0018	0.0128	2e-04	0.0067	0.015	0.0053	0.0026	1e-04	0.0057	0.0014	0.0041	0.0107	0.0158	0.0036	0	3e-04	0.0026	0.0104	0.0228	0.0147	0.0197	0.0232	0.0106	0.0064	0.0013	0.0036	6e-04	0.0158	4e-04	0.001	0.008
Bgsng7131.m23	0.0015	0.0032	2e-04	0	2e-04	3e-04	0.0015	0	0	0	0	3e-04	0	1e-04	0.0027	1e-04	1e-04	0.0015	3e-04	7e-04	0.0012	0	2e-04	0.0012	0.0021	1e-04	0	6e-04	0.0022	0	9e-04	4e-04	2e-04	0	6e-04	5e-04	4e-04	1e-04	3e-04	1e-04	3e-04	5e-04	6e-04	2e-04	1e-04	0.0045	0.0045	5e-04	5e-04	0	4e-04	1e-04	9e-04	0.0011	2e-04	5e-04	0	2e-04	0.0012	0.0013	0.009	0.0011	2e-04	0	1e-04	0.0043	0.0038	2e-04	0.0222	0.0016	0.0011	6e-04	0.001	0.0028	7e-04	0.0069	0.0023	0.0026	0.0039	0.0014	0.0054	0.0056	0.0133	3e-04	0.006	0.0076	0.0012	2e-04	5e-04	0.0089	0.015	0.0058	0.0016	2e-04	7e-04	4e-04	0.0019	0.0079	0.0031	0.0034	0.0086	2e-04	0.001	0.0014	0.0089	0.0077	0.0019	0.0106	0.0047	0.0015	4e-04	0.0074	0.0061	0.0023	1e-04	7e-04	8e-04	0.0023	9e-04	0.0071	0.0062	0.0021	0.0011	0.001	0.0022	0.0106	0.0209	0.0184	0	5e-04	0.005	0.0239	0.0021	0.0018	0.0286	0.0052	0.0017	0.0027	0.0177	0.0087	0	0.0093	0.0046	0.0202	0.0041	0.0096	0.018	0.0011	0.0065	4e-04	0.0195	0.0479	0.0069	0.0203	0.0055	1e-04	0.0184	0.0088	0.0369	0.0492	0.0161	9e-04	0.0069	9e-04	4e-04	0.0407	0.0281	0.075	0.0061	0.0193	0.0184	0.0056	0.0058	0.0139	0.0141	0.0072	1e-04	0.022
Bgsng7071.m23	7e-04	6e-04	2e-04	0	0	0	3e-04	0	1e-04	3e-04	0	0	0	0	4e-04	0	0	1e-04	0	0	0	1e-04	0	0	1e-04	0	5e-04	0	0	1e-04	5e-04	5e-04	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	8e-04	0	0	0	0	0	0	0	0	0	0.0017	4e-04	0.0018	1e-04	0	2e-04	0	0	0	0	5e-04	4e-04	3e-04	6e-04	6e-04	1e-04	3e-04	0	0	1e-04	0.001	0.0035	0.0018	0	2e-04	5e-04	1e-04	0.0294	4e-04	0.0069	1e-04	1e-04	0	0	0.0071	0.0031	0.0031	0	1e-04	1e-04	0.0012	1e-04	0.0196	0.0012	0.0165	0.0131	0.0083	0.0014	0	0.0092	0.0088	0.0021	0.0033	0.0018	0	0.0027	0.0052	0.0202	0.0068	0	0.0013	2e-04	0.0015	1e-04	0.0088	0.0067	0.0089	0.0045	0.0152	0.0148	0.0016	0.0139	0.0043	3e-04	0	0.0172	0.0367	0.0111	0.03	0.004	0.011	0.0092	9e-04	0.0065	0.0083	0.0013	0.0132	0.0033	0.0107	0.0159	0.01	0.023	0.0128	0.0056	7e-04	0.0026	0.0116	0.0093	0.0093	0.0295	5e-04	0.0118	0.0112	0.0032	0.0156	0.0186	0	0.072	0.001	0.0036	0.0136	0.0086	0.13	0.0257	0.0313	1e-04	0.0469	0.0029	0.026	0.0035	0.0057	7e-04	0
Bgsng7071.m24	2e-04	5e-04	0	1e-04	0	1e-04	5e-04	0	0	0	0	0	0	0	2e-04	0	2e-04	0	0	3e-04	0	0	0	2e-04	0.0034	0	0	2e-04	7e-04	0	0.001	7e-04	2e-04	0	0	0	0	0	0	4e-04	0	0.0049	2e-04	0	0	1e-04	0.0044	0	1e-04	0	2e-04	2e-04	1e-04	3e-04	0	0	0.0011	8e-04	1e-04	7e-04	0.0041	2e-04	1e-04	0	0	0.0029	0.0016	2e-04	0.009	0	5e-04	7e-04	0.0033	0.001	0	0.0061	5e-04	0.0053	3e-04	0.0013	0.0058	0.0018	0.0216	5e-04	5e-04	0.0032	7e-04	0	0.0012	0.0108	0.004	0.0109	0.0046	5e-04	4e-04	9e-04	5e-04	0.0116	0.0062	0.0091	8e-04	0	0.0031	3e-04	0.0027	0.0089	0.0015	0.0099	0.0065	0	0.0017	0.0056	0.0177	0.0042	0	0.0025	4e-04	0.0021	1e-04	0.0116	0.0377	0.0147	0.0029	0.018	0.0024	0.0141	0.0329	0.0065	3e-04	0.0055	0.0015	0.0438	0.0105	4e-04	0.0274	0.0019	0.0073	0.0088	0.0049	0.0096	5e-04	0.0089	0.0014	0.0087	0.0074	0.0225	0.015	0.0061	0.0077	0.0047	0.0213	0.0959	0.0058	0.0147	0.0069	0.0033	0.013	0.0192	0.0124	0.0711	0.0059	0	0.0045	1e-04	6e-04	0.0212	0.0083	0.0365	0.0063	0.0262	0.0029	0.0025	0.0135	0.0018	0.0169	0.002	0.0027	0.0169
Bgsng7115.m23	1e-04	9e-04	7e-04	0	0	1e-04	1e-04	0	2e-04	0.0033	0	0	0	0	8e-04	0	0	0.0021	8e-04	0	0	0	0	0	0.003	1e-04	0	2e-04	3e-04	0	3e-04	3e-04	0	0	1e-04	0	2e-04	0	0	0	1e-04	0.0026	5e-04	1e-04	0	5e-04	0.002	0	1e-04	1e-04	1e-04	6e-04	4e-04	1e-04	6e-04	0	0.0021	0.001	6e-04	5e-04	0.009	3e-04	0	1e-04	0	0.0015	0.0099	3e-04	0.0167	0	0.0098	0.0026	7e-04	1e-04	0.001	0.0063	0.0012	0.0065	0.0017	0.0053	4e-04	0.0015	0.0088	6e-04	0.0024	0.0028	0.0013	2e-04	0.0033	0.0101	0.0022	0.0061	0.0015	1e-04	1e-04	0.0034	0	0.0283	0.0087	0.0011	0.0033	8e-04	0.0039	0.0012	0.0047	0.0085	0.0036	0.0217	0.0011	0.0022	0.001	0.0064	0.0166	0.0061	0	0.003	0	0	0.0014	0.0205	0.016	0.0069	5e-04	0.012	0.0017	0.0046	0.0097	0.0318	0	0.0025	0.0045	0.0259	0.0227	0.0065	0.024	0.0054	0.0142	0.0016	0.0127	0.0167	2e-04	0.0043	0.0161	0.0115	0.0092	0.0144	0.0453	0.0027	0.0068	3e-04	0.0482	0.0211	0.0083	0.0271	7e-04	0.0015	0.0023	0.0138	0.0233	0.006	0.0088	4e-04	0.0012	0.0032	1e-04	0.0339	0.0298	0.0132	0.007	0.0373	0.028	0.0062	0.0012	0.0024	0.0452	0.0015	4e-04	0.0097
Bgsng7052.m20	3e-04	3e-04	1e-04	0	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	2e-04	0	1e-04	0	0	2e-04	2e-04	4e-04	3e-04	1e-04	8e-04	0	0	0	0	0	0	2e-04	2e-04	0	0	9e-04	0	0	0.0011	0	0	3e-04	2e-04	0	0	0	2e-04	0	0	0	0	3e-04	0	5e-04	0.0013	3e-04	0.0148	7e-04	0	0	0	0.0024	0.0079	2e-04	0.0049	0	0.0074	0	0	0.0012	0	0.0027	0.004	1e-04	0.0025	2e-04	0.0011	0.0014	0.0239	0.0018	0	0.0064	0.001	0	0.0054	0.0017	0.0064	0.0091	0.002	0	5e-04	2e-04	0	0.026	0.0473	0.0017	6e-04	0	0	0	0.0065	0.012	0.0019	0.0092	2e-04	0	0	0.0076	0.0524	0.0079	0	0.0016	0	0	0	0.0298	0.04	0.0069	0.0631	0.0031	0	0.0048	0.0519	0.0087	0	0.0125	0	0.0265	0.0481	7e-04	0.0139	0.0011	0	0	0	0.0088	0	8e-04	0	0.0049	0.0097	0.0574	0.0271	0	0	0	0.0045	0.0228	0.0016	0.0306	0	0	0	0.0068	0.0087	0.035	0.0037	0	0	0	0	0.0595	0.0101	0.0276	0.0255	0.0254	0.0064	0.0099	5e-04	0	0	0	0	0.0077
