Feature_id	Mean_decrease_in_accuracy	Standard_deviation
217996	0.00303965760211024	0.000412647045438415
189827	0.00105022030020596	7.77546831982866e-05
72820	0.0010197134710355	0.000232055422318685
326792	0.000982648719989401	0.000144831467361184
561483	0.000694705097352732	0.000188793401491429
194745	0.000621891847414844	0.000134499797642317
261912	0.000453849879989525	0.000161513274629767
364234	0.0004528401291536	3.90307506601584e-05
533785	0.00044021624948212	0.00011084369819729
191687	0.000426634540040491	0.000108013747437686
470663	0.000388886819288392	0.000103684399082369
210269	0.000329635553572648	0.000286515483415012
13823	0.000284022907283395	9.1354871407409e-05
561636	0.000202505436496978	7.38940396816291e-05
48207	0.000197233368965427	5.79992068018378e-05
185951	0.000183190786511643	4.5083745472208e-05
181834	0.000182633045001181	3.61281485957238e-05
195574	0.000180454667151124	6.96857932684262e-05
303304	0.000177516276954633	5.02093709985308e-05
469873	0.000158584452521528	0.000136485209422313
9514	0.000154094757009068	4.8450110868286e-05
326977	0.000150766198479471	6.0116500358563e-05
309068	0.000133931993133132	5.40284363129569e-05
554755	0.000109510723864475	0.000110594952116962
162427	0.00010546329005894	6.03134692942256e-05
579564	0.000102477562194716	5.20090496382259e-05
292424	9.1202094776432e-05	3.6010606237543e-05
302844	8.82570070134369e-05	4.94340155670756e-05
212619	8.49117272299513e-05	3.88330478190253e-05
287510	7.94666344756598e-05	2.6424638182886e-05
295024	7.51758816834478e-05	3.90222273899533e-05
563485	6.99590464712378e-05	7.68730078360666e-05
352379	6.86061140638776e-05	2.69356014333462e-05
540230	6.67076589045195e-05	7.50368342880438e-05
469868	6.44823996861457e-05	4.66994366509339e-05
178122	6.29136710944976e-05	3.63478218728749e-05
130663	6.21167869508789e-05	5.11725005919091e-05
268604	5.73349926728443e-05	3.16516853448109e-05
145149	5.31939970475898e-05	3.58607411162073e-05
365758	4.70684606668353e-05	1.92878833196463e-05
186029	4.38227508743194e-05	7.52142268376644e-05
517331	3.98184169431916e-05	2.3847116862952e-05
New.0.ReferenceOTU576	3.69150842037425e-05	2.96780862749316e-05
15382	3.6337012986205e-05	7.81338796865943e-05
259261	3.53608045445205e-05	2.6036848713645e-05
199293	3.51602002691019e-05	1.71993196352077e-05
545371	3.46955688735472e-05	2.41059873906025e-05
178146	3.33592308102154e-05	1.20943258471652e-05
177351	3.33028651950609e-05	1.73016437582052e-05
139221	3.28902429390998e-05	2.07595066555634e-05
170124	3.2441012459134e-05	1.00827435990471e-05
323257	3.18827541661667e-05	2.74210669780404e-05
274208	3.08884495922658e-05	1.37581684512641e-05
24773	2.57301948563822e-05	7.02457138108697e-05
15141	2.35049750956718e-05	2.99521074558994e-05
179287	2.04858218728607e-05	1.76680624802708e-05
99826	2.02225456967627e-05	1.42502457469394e-05
175682	1.993814250293e-05	3.36007305512445e-05
352304	1.95848556231285e-05	5.98328624611193e-06
148099	1.37681887750391e-05	3.65424250185725e-05
469852	1.22753315211259e-05	0.000116971000365504
361809	1.03631346532588e-05	3.56391939827148e-05
209122	9.25437877470019e-06	1.20538315692186e-05
325608	8.72662018125482e-06	2.46609450981055e-05
312461	8.34338025195598e-06	9.04151450580016e-06
174902	4.73538209012414e-06	9.37705661574243e-06
248563	2.18736968520553e-06	8.49744024765067e-06
16076	-1.32793526987627e-06	8.10135648307889e-06
New.0.ReferenceOTU11	-2.8020147571665e-06	9.57328748914661e-06
259422	-4.84960733645715e-06	4.25061103675284e-05
184464	-9.30739372457693e-06	1.87554867761978e-05
301004	-1.56750858288339e-05	5.23069416164638e-05
307981	-1.69038975484706e-05	7.12585620871619e-05
586732	-1.89832776814874e-05	6.17432447363443e-06
295190	-3.32332504168458e-05	7.75004619582721e-06
470139	-5.88921060037076e-05	3.70300888896057e-05
198251	-6.04524212666434e-05	2.5233908996847e-05
471308	-6.27636899783673e-05	4.56270728594419e-05
305760	-0.000124434743239553	0.000133565344649683
316587	-0.000125171591286672	6.29387015864779e-05
108747	-0.000133984190657305	0.000137968586252303
